[["40c"],0] NaN
[[15,15,1,1],0] 1
[[15,15],0] 1
[[15,14,5,1],0] 2
[[15,13,5,2],0] 2
[[15,12,7,1],0] 0
[[15,12,6,1,1],0] 0
[[15,12,6],0] 0
[[15,12,4,3,1],0] 0
[[15,12,4,2],0] 0
[[15,12,3,2,2],0] 0
[[15,12,3,1,1],0] 0
[[15,12,3],0] 0
[[15,12,2,2,2,1],0] 0
[[15,12,2,1,1,1],0] 0
[[15,12,2,1],0] 0
[[15,11,8],0] 0
[[15,11,7,3],0] 1
[[15,11,6,2],0] 0
[[15,11,4,4,1],0] 0
[[15,11,4,2,2],0] 0
[[15,11,4,1,1],0] 0
[[15,11,4],0] 0
[[15,11,3,3,1],0] 1
[[15,11,3,2,1,1],0] 2
[[15,11,3,2],0] 2
[[15,11,2,2,1,1,1],0] 0
[[15,11,2,2,1],0] 0
[[15,11,1,1,1,1,1],0] 1
[[15,11,1,1,1],0] 1
[[15,11,1],0] 1
[[15,10,9,1],0] 2
[[15,10,5,4],0] 0
[[15,10,5,3,2],0] 0
[[15,10,5,1,1,1],0] 2
[[15,10,5,1],0] 2
[[15,9,8,2],0] 0
[[15,9,7,4],0] 0
[[15,9,7,1,1,1],0] 1
[[15,9,7,1],0] 1
[[15,9,6,4,1],0] 0
[[15,9,6,2,2],0] 0
[[15,9,6,1,1],0] 2
[[15,9,6],0] 2
[[15,9,4,4,3],0] 0
[[15,9,4,3,1],0] 0
[[15,9,4,2,2,2],0] 0
[[15,9,4,2,1,1],0] 0
[[15,9,4,2],0] 0
[[15,9,3,3,3],0] 1
[[15,9,3,3,2,1],0] 2
[[15,9,3,2,2,1,1],0] 0
[[15,9,3,2,2],0] 0
